house_count,kfs,url,price,cj_count,name,location,year,coordinate,build_type,wy,build_count
9080户,成都东立置业有限公司,http://guojihuachengdl.fang.com/,12651,123套,东立国际花城,航都大街60号,2015年建成,,塔楼,成都亿新物业管理有限公司,33栋
4963户,成都信蓉投资有限公司,http://zhongxincheng028.fang.com/esf/,16501,4套,中海右岸,南湖西侧（剑南大道旁边）,2016-05-01,,板楼,中信物业,21栋
5705户,成都信凯实业有限公司,http://kaidefengshang.fang.com/,22291,347套,凯德风尚,苏坡中路8号,2012年建成,,板楼,成都和达物业服务有限责任公司（置信和达）,26栋
4400户,成都忠捷置业有限公司（新鸿基地产集团成员）,http://yuechengxhj.fang.com/esf/,16815,138套,新鸿基悦城,天府大道南延线侧（极地海洋公园旁）,2017-01-01,,板塔结合,启胜管理服务有限公司,17栋
565户,成都中海投资置业有限公司,http://feilishanss.fang.com/,9215,0套,三盛翡俪山,双流牧马山燕杨路,2015年建成,,"联排,独栋",伯恩物业公司,98栋
4626户,恒大地产集团成都有限公司,http://jinbitianxiahd0282.fang.com/esf/,8299,0套,恒大金碧天下,剑南大道南沿线牧马镇莲花村（牧马后山）,2009-12-01,,板塔结合,金碧物业有限公司成都分公司,44栋
154户,"中国电建地产成都分公司 , 武汉南国置业股份有限公司",http://fanyuechengshiguangchang.fang.com/esf/,11014,0套,泛悦城市广场,2.5环昭觉寺南路（昭觉寺横路段）,2017-12-30,,板塔结合,中国电建地产成都分公司,1栋
4810户,成都志达房产开发有限公司,http://longchengyihao.fang.com/,17990,249套,龙城一号,龙城大道1号,2013年建成,,"板楼,塔楼",成都安达祥和置业有限公司,68栋
1732户,成都金科房地产开发有限公司,http://jinkelangqiaoshuixiang.fang.com/,9923,0套,金科廊桥水乡别墅,花源大道1888号,2012年建成,,"联排,独栋,叠拼",重庆金科物业管理有限公司成都分公司,200栋
523户,成都龙湖锦城置业有限公司,http://033926.fang.com/,8798,0套,龙湖悠山郡一期,花源镇丽景路428号,2014年建成,,"联排,独栋",成都龙湖物业服务有限公司,190栋
107户,四川川投置信丽景置业有限公司,http://294904.fang.com/,12705,1套,置信牧山丽景,花源镇牧马山丽景路3号,2013年建成,,独栋,成都和达物业服务有限责任公司（置信和达）,106栋
1677户,龙湖地产,http://changqiaojunlh.fang.com/,10424,0套,龙湖长桥郡,白云大道419号,2011年建成,,独栋,成都龙湖物业服务有限公司,562栋
16255户,成都龙湖锦鸿置业有限公司,http://shidaitianjielh028.fang.com/,9776,34套,龙湖时代天街,合作路89号（电子科技大学清水河校区西门对面）,2015年建成,,板塔结合,重庆新龙湖物业有限公司,31栋
2874户,成都万华房地产开发有限公司,http://yintelaken.fang.com/,18052,76套,麓山国际社区茵特拉肯,麓山大道二段6号,2015年建成,,塔楼,成都麓山物业管理有限公司,19栋
572户,成都万华房地产开发有限公司,http://lushanguojishengandelu.fang.com/,22387,3套,麓山国际圣安德鲁,麓山大道二段6号,2014年建成,,独栋,成都麓山物业管理有限公司,143栋
2075户,四川亿兴置业发展有限公司,http://shangshanqi.fang.com/zhuzhai/,10486,0套,上善栖,大三路212号,2009年建成,,板楼,成都亿兴物业管理有限责任公司,54栋
216户,成都市南极房地产开发有限公司,http://shenxianshu3hao.fang.com/,14712,0套,神仙树3号院,神仙树西路3号（二环路创业路口永丰立交桥旁）,2011年建成,,塔楼,威斯顿物业管理（香港）有限公司,2栋
8249户,中铁地产（成都）开发有限公司,http://guokelidecheng.fang.com/,14790,399套,果壳里的城,龙泉驿区北泉路1188号,2014年建成,,塔楼,艾明物业管理有限公司,16栋
6276户,成都万达商业广场有限公司,http://jinhuachengwd.fang.com/,17082,93套,万达锦华城,二环东五段29号,2008年建成,,塔楼,万达物业,5栋
404户,"
										,
									",http://zhaiyuanfudisl.fang.com/,17080,4套,三利宅院福邸,高新区中和大道一段98号,2010年建成,,"联排,独栋",四川三利房地产有限公司,12栋
1722户,四川润扬房地产开发有限公司,http://shuangheludaory.fang.com/,11897,136套,润扬双河鹭岛,新都区毗河东路99号（万科双水岸对面）,2011年建成,,板楼,成都孺牛物业管理有限公司,35栋
